지역,가맹점명,분류,주소,Latitude,Longitude
경기,안산동산실업인선교회(동산비전서점),도서,경기도 안산시 상록구 석호공원로 8 동산교회 내 서점(사동),37.301537,126.8438511
경기,북스토리,도서,경기도 안산시 상록구 성포동 583 스타프라자2층 22호,37.3205794,126.8448591
경기,안산버스터미널(고속),교통수단,경기도 안산시 상록구 성포동 590,37.3171241,126.8479131
경기,코코포토,미술,경기도 안산시 상록구 송호5길 26,37.3127534,126.8482257
경기,수인아트,문화체험,"경기도 안산시 상록구 양지편1길, 26 대성프라자 206호",37.3083761,126.8501764
경기,중고서점 노아,도서,경기도 안산시 상록구 양지편로 34 조강빌딩 108호 (이동),37.3092029,126.8509058
경기,다농서점,도서,경기도 안산시 상록구 월피동 445,37.3283199,126.8442318
경기,세종사진관,미술,경기도 성남시 중원구 성남동 3788 1층3호,37.4302987,127.1365915
경기,모란장여관,숙박,경기도 성남시 중원구 성남동 4345,37.4329439,127.1277193
경기,W모텔,숙박,경기도 성남시 중원구 성남동 산성대로 180,37.4359135,127.1389734
경기,티엘아이아트센터(㈜조슈아),공연,경기도 성남시 중원구 양현로405번길 12,37.4115239,127.1303052
경기,원프로스튜디오,미술,경기도 성남시 중원구 원터로 114 204호,37.4368564,127.1420046
경기,민포토,미술,경기도 성남시 중원구 자혜로 54,37.4506155,127.165521
경기,동원파크,숙박,경기도 성남시 중원구 중앙동 1~1637 223,37.4403231,127.1466492
경기,놀숲 용인수지점,도서,"경기도 용인시 수지구 풍덕천로139번길 8-1, 봉산빌딩 4층",37.3245277,127.0963994
경기,더아나스튜디오,미술,경기도 용인시 처인구 고림로 13 101,37.2343485,127.2131545
경기,모텔휘닉스,숙박,경기도 용인시 처인구 금령로117번길 13,37.2367552,127.2090767
경기,용인 공용버스터미널,교통수단,경기도 용인시 처인구 김량장동 23-1,37.2324464,127.2103253
경기,필모텔,숙박,경기도 용인시 처인구 김량장동 344-1,37.2326147,127.201034
경기,용인문고,도서,경기도 용인시 처인구 김량장동 금령로 93,37.2356279,127.2066485
경기,발렌타인모텔,숙박,경기도 용인시 처인구 남동 348-4,37.2171555,127.2082898
경기,용인송담대학구내서점,도서,경기도 용인시 처인구 마평동 540~940 571-1,37.1752753,127.267493
경기,용인도시공사(자연휴양림),관광지,경기도 용인시 처인구 모현면 초부로 220 용인자연휴양림 숲속체험관,37.3148198,127.2676021
경기,재단법인 한택식물원,관광지,경기도 용인시 처인구 백암면 한택로 2,37.094023,127.4098323
경기,아우라관광호텔,숙박,경기도 안산시 상록구 이동 713-7 8,37.3078608,126.8488994
경기,칼튼,숙박,경기도 안산시 상록구 양지편1길 7,37.3075033,126.8484581
경기,황실파크장,숙박,경기도 안산시 상록구 일동632-13,37.3100442,126.8689042
경기,한서형공연기획사,공연,경기도 안산시 상록구 정재로 4길 15,37.3344574,126.8657769
경기,경원렌트카(주),교통수단,경기도 안산시 상록구 항가울로 410 (성포동),37.3183684,126.8513408
경기,그랜드파크,숙박,경기도 안성시 중앙로362번길 11 (석정동),37.0074253,127.2670605
경기,공도문고,도서,경기도 안성시 공도읍 만정리 공도4로 17,37.0014285,127.1713478
경기,공도 시외버스 터미널,교통수단,경기도 안성시 공도읍 용두리 273-1,36.9987524,127.1667548
경기,권선1동 주민자치센터,문화체험,경기도 수원시 권선구 경수대로352번길 29 권선1동 주민센터,37.2576629,127.0246534
경기,(주)에이플러스렌트카,교통수단,경기도 수원시 권선구 곡반정동 506-5,37.2456112,127.0347039
경기,사단법인 경기인형극진흥회,공연,"경기도 수원시 권선구 곡선로 49번길 24-14, 102호",37.2394828,127.0310515
경기,라이브아트,공연,경기도 수원시 권선구 곡선로49번길 24-16,37.2394116,127.0312654
경기,본스튜디오,미술,경기도 수원시 권선구 금호로247번길 19,37.2767776,126.9768379
경기,주식회사 탑위드씨디엠,숙박,경기도 수원시 권선구 구운동 서부로1934번길 42,37.2816812,126.9716316
경기,M모텔,숙박,경기도 수원시 권선구 구운로85번길 58,37.280874,126.9698835
경기,메르디모텔,숙박,경기도 수원시 권선구 권선동 1018-1,37.260417,127.0256833
경기,상록스튜디오,미술,경기도 수원시 권선구 권선동 1263 신우아파트상가203호,37.2509909,127.0283346
경기,호텔프라하,숙박,경기도 수원시 권선구 권선동 경수대로384번길 42-1,37.2597364,127.0266379
경기,(주)한네트여행사,여행사,경기도 수원시 권선구 권선로 637,37.2608919,127.0213221
경기,허니허니스튜디오,미술,경기도 용인시 처인구 역북동 428,37.236936,127.1896934
경기,명지문고,도서,경기도 용인시 처인구 역북동 중부대로 1305,37.2362199,127.1899975
경기,예인스튜디오,미술,경기도 용인시 처인구 동부로359번길 16,37.2075471,127.2379823
경기,대한불교조계종 법륜사(템플스테이),문화체험,경기도 용인시 처인구 원삼면 농촌파크로 126 법륜사,37.1695873,127.2984987
경기,선녀와나뭇꾼,숙박,경기도 용인시 처인구 이동면 덕성로46번길 31,37.1700448,127.1999828
경기,대한스튜디오,미술,경기도 용인시 처인구 이동면 천리 236-13,37.1927548,127.20672
경기,로만바스(주식회사 용인스파랜드),관광지,경기도 용인시 처인구 지삼로 470 (삼가동),37.2346648,127.1563488
경기,삼성화재교통박물관,미술,경기도 용인시 처인구 포곡읍 애버랜드로376번길 171(유운리 432),37.2993534,127.2185665
경기,자연파크,숙박,경기도 용인시 처인구 포곡읍 전대리191-36,37.2860484,127.2175504
경기,최강서점,도서,"경기도 용인시 처인구 포곡읍 둥전로 47번길 21, 2층 201호",37.2681013,127.2191917
